ID_Client,Age,Revenu_Mensuel,Montant_Credit,Duree_Credit,Taux_Interet,Historique_Credit,Nombre_Credits_En_Cours,Endettement,Type_Emploi,Region,Defaut_Paiement
1,73,358273,773260,26,12.43,2,2,0.83,CDD,Atar,0
2,26,375470,107684,7,7.97,1,4,0.4,Indépendant,Zouerate,1
3,53,55892,956414,52,3.89,1,0,0.11,Sans emploi,Atar,0
4,42,430956,437789,35,14.54,2,4,0.13,CDI,Nouakchott,0
5,58,58642,778173,29,9.98,1,3,0.69,CDI,Atar,0
6,57,149727,587226,32,13.17,1,1,0.96,CDD,Atar,0
7,37,220109,550914,16,13.29,2,2,0.75,Indépendant,Nouadhibou,0
8,64,476960,764229,24,14.22,2,3,0.03,CDI,Rosso,0
9,25,208979,205540,7,13.17,2,0,0.43,CDD,Kiffa,1
10,54,48431,304807,36,13.56,2,3,0.81,CDI,Nouadhibou,0
11,54,253152,955559,51,4.39,1,1,0.31,Indépendant,Rosso,0
12,70,486639,222695,29,6.33,0,2,0.69,Indépendant,Zouerate,1
13,45,347325,292825,37,7.92,2,4,0.68,CDI,Kiffa,0
14,49,267119,821641,21,7.72,1,3,0.23,CDI,Zouerate,1
15,52,285114,815297,17,10.79,1,0,0.59,CDD,Nouadhibou,0
16,32,172796,511324,43,10.42,1,3,0.41,CDI,Zouerate,0
17,74,96777,595469,58,4.42,1,2,0.73,CDI,Rosso,0
18,30,301542,175736,53,10.53,2,2,0.82,CDI,Nouadhibou,0
19,45,280374,272205,42,12.33,2,1,0.87,Indépendant,Nouakchott,0
20,69,296040,496593,49,4.83,1,0,0.37,CDI,Nouadhibou,0
21,34,104436,707649,30,10.42,1,4,0.9,CDI,Nouadhibou,1
22,63,188325,115165,18,9.27,2,4,0.41,CDI,Nouadhibou,0
23,38,37108,161232,17,14.15,1,4,0.53,CDD,Nouadhibou,0
24,49,409204,308011,27,7.22,0,1,0.42,CDI,Kiffa,0
25,63,492501,336601,13,4.73,2,2,0.18,Indépendant,Atar,0
26,68,172002,799885,36,7.37,1,2,0.53,CDD,Nouadhibou,0
27,67,308564,576165,20,7.48,2,2,0.8,CDI,Atar,0
28,40,27964,315863,38,12.94,1,2,0.61,Sans emploi,Nouakchott,1
29,38,296394,260269,49,3.76,0,2,0.27,Sans emploi,Nouakchott,0
30,41,221838,125184,44,3.75,1,3,0.92,CDI,Nouakchott,1
31,66,51779,326993,38,14.57,1,4,0.85,Indépendant,Atar,0
32,44,283596,704493,6,4.81,2,4,0.7,CDI,Nouadhibou,1
33,65,478323,435597,12,6.26,1,4,0.8,CDI,Rosso,0
34,51,332642,381862,28,14.2,2,3,0.07,Indépendant,Zouerate,0
35,58,380481,584760,53,4.32,2,2,0.47,CDI,Nouakchott,0
36,64,71260,923921,52,6.35,2,0,0.98,Sans emploi,Zouerate,0
37,60,354279,295691,34,8.17,2,0,0.39,Indépendant,Kiffa,0
38,51,256604,578206,47,12.58,1,2,0.53,CDD,Nouadhibou,0
39,40,494479,203912,33,14.05,1,3,0.43,CDI,Zouerate,0
40,44,158526,731638,32,13.31,0,1,0.29,CDI,Zouerate,0
41,30,201979,895820,24,7.9,2,4,0.14,CDD,Zouerate,1
42,71,339040,186766,43,9.51,0,3,0.34,CDI,Kiffa,0
43,46,32540,790304,31,4.13,1,0,0.14,CDD,Zouerate,0
44,72,431865,995024,12,11.84,0,4,0.68,CDI,Atar,1
45,54,338309,258961,55,7.68,1,0,0.98,CDI,Nouadhibou,0
46,63,395830,963224,42,12.6,2,2,0.3,Indépendant,Nouadhibou,0
47,42,300219,212316,16,12.16,1,2,0.96,CDD,Kiffa,0
48,72,482134,296651,52,10.5,2,0,0.47,CDD,Rosso,0
49,31,315226,925483,55,14.97,1,1,0.1,Sans emploi,Kiffa,0
50,34,288436,96203,31,12.74,0,1,0.37,CDI,Rosso,0
51,71,461164,275936,48,13.3,0,1,0.33,Indépendant,Zouerate,0
52,58,395807,10402,14,10.15,2,0,0.64,CDI,Zouerate,1
53,42,113213,103206,41,13.4,0,0,0.06,CDI,Nouadhibou,1
54,31,177790,741055,52,8.61,1,4,0.86,Indépendant,Nouakchott,0
55,20,159763,808928,15,10.63,1,3,0.5,Indépendant,Atar,1
56,58,374270,432590,32,12.18,0,4,0.34,CDI,Rosso,0
57,44,432634,627565,58,14.11,1,1,0.06,CDI,Nouakchott,0
58,30,382894,815240,43,6.4,2,2,0.38,Indépendant,Atar,0
59,71,406138,692746,26,12.72,2,0,0.22,CDD,Rosso,0
60,67,264493,275889,11,12.6,0,2,0.2,CDI,Nouadhibou,0
61,27,13302,705192,29,9.65,2,3,0.72,CDD,Zouerate,0
62,38,297632,557600,50,12.48,1,1,0.02,Indépendant,Kiffa,1
63,49,322519,646221,47,13.1,1,1,0.98,Indépendant,Atar,0
64,41,489721,465507,15,12.98,0,3,0.28,Sans emploi,Zouerate,0
65,23,188306,353392,40,11.68,1,2,0.49,CDI,Atar,0
66,23,278961,431534,9,9.3,1,1,0.25,CDI,Kiffa,0
67,33,234332,405888,13,9.13,0,2,0.32,CDD,Nouakchott,0
68,22,248276,937893,27,6.27,1,4,0.06,Sans emploi,Kiffa,0
69,63,265233,945608,43,6.42,1,2,0.52,CDI,Nouadhibou,1
70,23,204440,890109,28,4.92,1,1,0.76,CDD,Zouerate,0
