ID_Client,Age,Sexe,Revenu_Mensuel,Montant_Credit,Duree_Credit,Historique_Credit,Nombre_Credits_En_Cours,Taux_Interet,Type_Emploi,Region,Endettement,Defaut_Paiement
1,56,Homme,69913.060777618,147218.29147973983,28,0,1,3.645992736995747,Sans emploi,Nouakchott,39.370881221228615,0
2,46,Femme,47360.75710579109,430587.4216315692,21,0,4,2.6387976743090285,Indépendant,Kiffa,24.844243643981557,0
3,32,Femme,30994.533296758258,153186.9329263299,8,1,0,5.173888500278852,Sans emploi,Nouakchott,38.804066181565645,0
4,60,Femme,99726.82751498256,456277.37920551846,35,1,1,4.203190986219675,Sans emploi,Rosso,37.039699590253605,0
5,25,Homme,45487.22371241743,379441.33276242414,27,1,0,7.153051879943767,Sans emploi,Kiffa,38.22637335495786,0
6,38,Homme,47881.76731131917,404404.3206523049,14,0,1,3.0236708458320933,Sans emploi,Atar,29.569196008184516,1
7,56,Homme,20544.263013208572,18823.212244222705,34,0,4,9.517707876829782,Sans emploi,Nouakchott,25.317495291664684,0
8,36,Homme,80506.9071312433,481777.07496627275,52,0,3,11.062335194351386,Salarié,Nouakchott,18.883287528359595,0
9,40,Homme,70899.81144924142,366068.7861144584,42,1,2,9.434351739561944,Salarié,Nouadhibou,42.98505411203572,0
10,28,Homme,25973.113214932237,159328.03673920533,28,1,0,7.328270374013942,Sans emploi,Kiffa,34.33400186126715,0
11,28,Homme,12826.199333505057,416403.385780835,18,0,4,10.60667821788885,Salarié,Atar,27.7740878438998,0
12,41,Homme,69647.43369709775,147945.3872233157,37,0,3,8.949183797815074,Indépendant,Rosso,47.75983626842446,0
13,53,Femme,67178.56535670784,437649.3813874027,51,1,4,2.1055112245018988,Sans emploi,Nouadhibou,11.913552500281552,0
14,57,Femme,30959.655064829887,65164.39130184914,57,0,0,5.940901527745031,Indépendant,Atar,44.00687780820191,0
15,41,Homme,95332.03841378898,354806.1289557899,52,1,2,10.509518994068001,Indépendant,Kiffa,49.903303717838895,0
16,20,Homme,19350.499719185522,274942.25355600606,53,1,4,5.458588579752693,Sans emploi,Atar,45.47768443531469,0
17,39,Femme,46071.80609904718,57301.890395766,28,0,1,2.352151735255235,Indépendant,Nouakchott,42.41746342462501,1
18,19,Homme,94643.5124159219,128527.9758468311,50,1,3,9.461796385522723,Indépendant,Nouakchott,24.972239736252988,0
19,41,Homme,44874.09510798162,16077.977775884247,22,0,4,10.020382702828686,Indépendant,Nouadhibou,19.25256729049174,0
20,61,Homme,65659.96502808813,239696.30307760785,45,1,3,3.605936950433086,Sans emploi,Kiffa,39.39402081998404,0
21,47,Femme,42771.46780646546,157619.9777724002,26,1,1,7.373404968431812,Sans emploi,Kiffa,22.183014651542734,0
22,55,Femme,31050.444223123654,303195.1673059018,7,0,2,3.9195543899572574,Indépendant,Atar,17.041587286198826,0
23,19,Femme,98477.87655618368,155646.5257772224,42,1,2,9.192344190441467,Sans emploi,Nouadhibou,41.46103548414365,0
24,38,Femme,43886.730599929084,156960.3646384225,11,0,1,4.715504551774856,Sans emploi,Kiffa,22.501746089468888,1
25,50,Femme,89939.42434951777,374164.66737848567,49,0,3,5.1621512256333,Indépendant,Nouakchott,46.57766917949353,1
26,29,Homme,26845.687559653186,33589.98962939319,23,1,4,10.449708536401014,Sans emploi,Atar,43.62530579276501,0
27,39,Femme,25244.946882382912,452418.5476440737,35,0,1,6.763223522069043,Salarié,Rosso,43.90561318037021,0
28,61,Homme,7957.737874028579,427609.2984516789,27,0,0,8.697544512182478,Sans emploi,Nouakchott,40.86278904223305,0
29,42,Homme,66908.34841070908,337224.2947809392,59,0,3,6.023730507224677,Salarié,Nouadhibou,45.235256950989466,0
30,44,Femme,40010.00265375731,300678.5693526183,38,0,2,4.980068571937554,Indépendant,Kiffa,42.2298756871248,0
31,59,Femme,87114.03373476551,447228.2240884296,35,0,1,8.254780604246614,Sans emploi,Nouakchott,34.10045454298915,0
