ID_Client,Age,Sexe,Revenu_Mensuel,Montant_Credit,Duree_Credit,Historique_Credit,Nombre_Credits_En_Cours,Taux_Interet,Type_Emploi,Region,Endettement,Defaut_Paiement
1,56,Homme,69913.060777618,147218.29147973983,28,0,1,10.958841811926595,Salarié,Rosso,0.9605813683472746,1
2,46,Femme,47360.75710579109,430587.4216315692,21,1,3,9.939293858599648,Sans emploi,Kiffa,0.004499328641627887,0
3,32,Femme,30994.533296758258,153186.9329263299,8,1,4,3.5830390010561435,Sans emploi,Nouadhibou,0.23003205837378088,0
4,60,Femme,99726.82751498256,456277.37920551846,35,0,3,2.5178588873281686,Indépendant,Nouakchott,0.795063702963271,1
5,25,Homme,45487.22371241743,379441.33276242414,27,0,0,7.573105753143085,Indépendant,Nouakchott,0.5189879837848033,1
6,38,Homme,47881.76731131917,404404.3206523049,14,1,3,3.560358113399769,Salarié,Kiffa,0.37800212088703855,0
7,56,Homme,20544.263013208572,18823.212244222705,34,0,4,10.34590952595272,Indépendant,Atar,0.65480037254275,0
8,36,Homme,80506.9071312433,481777.07496627275,52,1,2,5.583346566716737,Indépendant,Atar,0.3271149889999372,0
9,40,Homme,70899.81144924142,366068.7861144584,42,1,2,11.128924447365755,Sans emploi,Kiffa,0.1607709161989357,1
10,28,Homme,25973.113214932237,159328.03673920533,28,1,0,7.656881721410057,Sans emploi,Nouadhibou,0.0956052588733709,0
11,28,Homme,12826.199333505057,416403.385780835,18,1,2,3.8267238423966816,Indépendant,Atar,0.3320503355739455,0
12,41,Homme,69647.43369709775,147945.3872233157,37,1,3,3.395988673598001,Indépendant,Kiffa,0.36199458211784574,0
13,53,Femme,67178.56535670784,437649.3813874027,51,0,0,7.764724375577539,Indépendant,Nouadhibou,0.8442006453546784,0
14,57,Femme,30959.655064829887,65164.39130184914,57,1,4,9.61883611862444,Salarié,Nouadhibou,0.15551833363016848,0
15,41,Homme,95332.03841378898,354806.1289557899,52,0,0,9.815056477421821,Salarié,Rosso,0.8505056335475203,0
16,20,Homme,19350.499719185522,274942.25355600606,53,1,0,4.757574044412813,Salarié,Nouadhibou,0.2459339109586034,0
17,39,Femme,46071.80609904718,57301.890395766,28,1,1,4.042467589121674,Indépendant,Atar,0.04121663600949538,0
18,19,Homme,94643.5124159219,128527.9758468311,50,0,1,2.167563044923824,Indépendant,Atar,0.7393508602846661,0
19,41,Homme,44874.09510798162,16077.977775884247,22,1,0,8.791991512011695,Salarié,Kiffa,0.4557956139030633,0
20,61,Homme,65659.96502808813,239696.30307760785,45,1,2,2.76568258433539,Salarié,Kiffa,0.38198159816280897,0
21,47,Femme,42771.46780646546,157619.9777724002,26,1,1,6.207612017659258,Indépendant,Nouadhibou,0.09872440854556586,1
22,55,Femme,31050.444223123654,303195.1673059018,7,1,4,8.016821640182961,Sans emploi,Nouakchott,0.3871255738503355,0
23,19,Femme,98477.87655618368,155646.5257772224,42,1,3,11.37108944919677,Salarié,Rosso,0.28581384668058274,0
24,38,Femme,43886.730599929084,156960.3646384225,11,1,1,5.118021369557686,Indépendant,Nouakchott,0.31304905099352337,0
25,50,Femme,89939.42434951777,374164.66737848567,49,1,0,4.497721624465198,Indépendant,Nouadhibou,0.038572187043030504,0
26,29,Homme,26845.687559653186,33589.98962939319,23,1,2,8.541601542860985,Sans emploi,Nouadhibou,0.11962943137573195,0
27,39,Femme,25244.946882382912,452418.5476440737,35,1,3,8.192390320535816,Indépendant,Nouakchott,0.2921598658813545,0
28,61,Homme,7957.737874028579,427609.2984516789,27,1,1,5.321097833081246,Indépendant,Rosso,0.3654640179665167,0
29,42,Homme,66908.34841070908,337224.2947809392,59,1,2,11.281018355097865,Salarié,Nouakchott,0.035050740133721,0
30,44,Femme,40010.00265375731,300678.5693526183,38,1,2,10.448623274896327,Salarié,Kiffa,0.219254008349485,0
31,59,Femme,87114.03373476551,447228.2240884296,35,1,2,4.239825458650811,Sans emploi,Atar,0.06601758844499778,0
32,45,Homme,49954.94113569793,100811.78796907008,22,0,0,4.391425454345232,Sans emploi,Kiffa,0.952480940084957,1
33,33,Homme,96978.37565189856,48694.88947350602,48,1,4,7.123003468870806,Indépendant,Atar,0.40386964660035723,0
34,32,Homme,22624.92399179651,127359.98325567367,37,0,2,9.735721017307203,Salarié,Nouadhibou,0.980944119362854,1
35,64,Femme,87519.20095578303,399343.35656309326,47,1,3,2.440403793884644,Sans emploi,Rosso,0.19888667576551983,0
36,61,Femme,78776.70101521547,26988.43069597683,56,1,1,8.933351537347066,Sans emploi,Nouakchott,0.0673736325654537,0
37,20,Femme,78237.57524118494,295575.34919090994,19,1,3,8.48235897382097,Sans emploi,Rosso,0.2389997725271557,0
38,54,Femme,85254.40667110433,497764.38293374184,15,0,0,4.314800959129882,Indépendant,Nouakchott,0.5724662635547503,0
39,24,Femme,77297.27913958489,429291.08598039433,52,1,0,8.813530132413488,Salarié,Kiffa,0.056526483917255066,0
40,38,Homme,64490.930554984465,265508.3876313588,56,1,3,11.401831912520827,Sans emploi,Kiffa,0.40488520194863115,0
41,26,Femme,17468.26337982682,41184.04555045475,41,0,4,2.467858449717685,Salarié,Nouakchott,0.6122797346344482,1
42,56,Homme,8089.987051668932,417373.0220489978,39,0,0,5.196520552920625,Sans emploi,Rosso,0.8671549944915538,1
43,35,Homme,92480.54554249025,303499.46900683315,14,1,0,6.381767166663552,Sans emploi,Nouakchott,0.04136915174353578,0
44,21,Homme,63581.779879470116,66317.16855918775,47,0,3,10.992603589246896,Salarié,Nouadhibou,0.745347172963492,1
45,42,Femme,80671.04264273675,55990.06956344454,33,1,0,11.622614466091568,Salarié,Kiffa,0.21016665471592128,0
46,31,Femme,50744.62339369226,455717.1415239303,16,1,4,6.441152464963323,Salarié,Nouadhibou,0.43608057598475325,0
47,26,Femme,16144.277951427475,337908.12883965846,19,1,4,9.500284121421911,Indépendant,Kiffa,0.39081772272160525,0
48,43,Homme,16892.65025924229,416350.5316652102,44,0,4,7.31661023764483,Sans emploi,Kiffa,0.5505819057587706,0
49,19,Homme,70128.70228675229,440699.66113831097,52,1,1,7.3778293474137655,Indépendant,Atar,0.48669714571802164,0
50,37,Homme,45879.06001544896,290168.45250367787,59,1,4,4.780995150663564,Salarié,Nouadhibou,0.48398489838497777,0
51,45,Homme,24049.84903653199,263548.7123599702,24,1,4,4.169562458638795,Sans emploi,Nouadhibou,0.27319523360586806,0
52,64,Homme,51701.481940436504,220909.4310572852,59,1,1,4.880053459240411,Indépendant,Atar,0.28079218048345406,0
53,24,Homme,11099.849022137738,165303.82801764845,20,1,2,7.563280072570793,Sans emploi,Rosso,0.14234388077213583,0
54,61,Femme,60287.28318186788,222952.02082076875,33,1,0,2.29155186022089,Indépendant,Nouadhibou,0.0714120552434413,0
55,25,Femme,30554.37342133428,389201.03130777663,29,0,4,11.072489443564058,Salarié,Nouakchott,0.8768402577714952,1
56,64,Femme,80768.11456053288,304942.48119741445,13,1,0,3.562837095497762,Indépendant,Atar,0.011224624215662338,0
57,52,Femme,34484.38609773951,447336.4120778746,48,1,3,4.200886768713866,Sans emploi,Nouadhibou,0.4127291628981426,0
58,31,Homme,48245.914162771114,227256.20704580197,14,1,0,7.182761764476464,Sans emploi,Rosso,0.26768543631919717,0
